C,T,M,Nome,Squadra,Quotazione iniziale
P,P,Pc,RONALDO,Juv,47
P,P,Pc,LUKAKU,Int,45
P,P,Pc,IMMOBILE,Laz,42
P,P,Pc,BELOTTI,Tor,37
P,P,Pc,MURIEL,Ata,36
P,P,Pc,MARTINEZ L.,Int,35
P,P,T;A,MKHITARYAN,Rom,33
P,P,Pc,IBRAHIMOVIC,Mil,33
P,P,A,JOAO PEDRO,Cag,33
P,P,A,INSIGNE,Nap,33
P,P,Pc,ZAPATA D.,Ata,32
P,P,Dd;Ds;E,HAKIMI,Int,30
P,P,A,BERARDI,Sas,30
P,P,Pc,DZEKO,Rom,29
P,P,A,LOZANO,Nap,29
P,P,Pc,CAPUTO,Sas,28
P,P,W;A,CHIESA,Juv,27
P,P,M;C,KESSIE',Mil,27
P,P,E,GOSENS,Ata,27
P,P,C,VERETOUT,Rom,27
P,P,Pc,MERTENS,Nap,26
P,P,C;T,ZACCAGNI,Ver,26
P,P,T,DE PAUL,Udi,25
P,P,C;T,MILINKOVIC-SAVIC,Laz,25
P,P,A,ILICIC,Ata,25
P,P,Pc,MORATA,Juv,24
P,P,C;T,SORIANO,Bol,24
P,P,A,RAFAEL LEAO,Mil,24
P,P,T,LUIS ALBERTO,Laz,23
P,P,Pc,PETAGNA,Nap,23
P,P,A,MESSIAS,Cro,23
P,P,W;A,POLITANO,Nap,22
P,P,Pc,CAICEDO,Laz,22
P,P,Pc,QUAGLIARELLA,Sam,22
P,P,Pc,DESTRO,Gen,22
P,P,E;W,CANDREVA,Sam,22
P,P,Ds;E,HERNANDEZ T.,Mil,22
P,P,C;T,PELLEGRINI LO.,Rom,22
P,P,C;T,ZIELINSKI,Nap,21
P,P,Pc,VLAHOVIC,Fio,20
P,P,Pc,NZOLA,Spe,20
P,P,C;T,BARAK,Ver,20
P,P,A,SANCHEZ,Int,20
P,P,T;A,KULUSEVSKI,Juv,19
P,P,T,CALHANOGLU,Mil,19
P,P,Pc,SIMY,Cro,19
P,P,Pc,MAYORAL,Rom,19
P,P,M;C,MCKENNIE,Juv,19
P,P,A,DYBALA,Juv,19
P,P,W;A,ORSOLINI,Bol,18
P,P,Pc,SIMEONE,Cag,18
P,P,W;T,PEREYRA,Udi,17
P,P,T,DJURICIC,Sas,17
