M,Nome,Squadra
Pc,RONALDO,Juv
Pc,LUKAKU,Int
Pc,IMMOBILE,Laz
Pc,BELOTTI,Tor
Pc,MURIEL,Ata
Pc,MARTINEZ L.,Int
T;A,MKHITARYAN,Rom
Pc,IBRAHIMOVIC,Mil
A,JOAO PEDRO,Cag
A,INSIGNE,Nap
Pc,ZAPATA D.,Ata
Dd;Ds;E,HAKIMI,Int
A,BERARDI,Sas
Pc,DZEKO,Rom
A,LOZANO,Nap
Pc,CAPUTO,Sas
W;A,CHIESA,Juv
M;C,KESSIE',Mil
E,GOSENS,Ata
C,VERETOUT,Rom
Pc,MERTENS,Nap
C;T,ZACCAGNI,Ver
T,DE PAUL,Udi
C;T,MILINKOVIC-SAVIC,Laz
A,ILICIC,Ata
Pc,MORATA,Juv
C;T,SORIANO,Bol
A,RAFAEL LEAO,Mil
T,LUIS ALBERTO,Laz
Pc,PETAGNA,Nap
A,MESSIAS,Cro
W;A,POLITANO,Nap
Pc,CAICEDO,Laz
Pc,QUAGLIARELLA,Sam
Pc,DESTRO,Gen
E;W,CANDREVA,Sam
Ds;E,HERNANDEZ T.,Mil
C;T,PELLEGRINI LO.,Rom
C;T,ZIELINSKI,Nap
Pc,VLAHOVIC,Fio
Pc,NZOLA,Spe
C;T,BARAK,Ver
A,SANCHEZ,Int
T;A,KULUSEVSKI,Juv
T,CALHANOGLU,Mil
Pc,SIMY,Cro
Pc,MAYORAL,Rom
M;C,MCKENNIE,Juv
A,DYBALA,Juv
W;A,ORSOLINI,Bol
Pc,SIMEONE,Cag
W;T,PEREYRA,Udi
T,DJURICIC,Sas
Por,GOLLINI,Ata
Por,DONNARUMMA G.,Mil
C;W,JANKTO,Sam
C;T,CASTROVILLI,Fio
C,BROZOVIC,Int
T,RAMSEY,Juv
Por,SILVESTRI,Ver
Pc,OSIMHEN,Nap
Pc,SHOMURODOV,Gen
M;C,BARELLA,Int
Dd;Ds;E,DANILO,Juv
Dd;Ds;E,SPINAZZOLA,Rom
C,FREULER,Ata
A,REBIC,Mil
A,GERVINHO,Par
A,BOGA,Sas
W;T,DIAZ B.,Mil
W;A,EL SHAARAWY,Rom
Ds;E,DIMARCO,Ver
Dd;E,HATEBOER,Ata
Dd;E,KARSDORP,Rom
Dc,SKRINIAR,Int
Dc,MANCINI,Rom
A,BARROW,Bol
A,FARIAS,Spe
W;T;A,DAMSGAARD,Sam
W;A,PEDRO,Rom
W;A,PUSSETTO,Udi
Por,SZCZESNY,Juv
Por,REINA,Laz
Por,OSPINA,Nap
Por,AUDERO,Sam
Pc,LAPADULA,Ben
Dd;Ds;E,LETIZIA,Ben
Dd;Dc;E,SINGO,Tor
Dc,BONUCCI,Juv
C;T,VERRE,Sam
C,LUKIC,Tor
A,CAPRARI,Ben
A,DEFREL,Sas
A,PJACA,Gen
A,KEITA B.,Sam
W;A,INSIGNE R.,Ben
Por,DRAGOWSKI,Fio
Por,HANDANOVIC,Int
M;C,GAGLIARDINI,Int
M;C,LOCATELLI,Sas
M;C,MIGUEL VELOSO,Ver
E,LAZZARI,Laz
Ds;Dc;E,CRISCITO,Gen
Dc,DE VRIJ,Int
Dc,BREMER,Tor
C;T,TRAORE' HJ.,Sas
C,KUCKA,Par
A,RIBERY,Fio
W;A,SOTTIL,Cag
W,SAELEMAEKERS,Mil
T,MALINOVSKYI,Ata
Por,PERIN,Gen
Pc,SCAMACCA,Gen
Pc,TORREGROSSA,Sam
Pc,SANABRIA,Tor
M;C,DE ROON,Ata
M;C,HERNANI,Par
M;C,THORSBY,Sam
M,DEMME,Nap
Ds;E,BIRAGHI,Fio
Dd;Ds;E,CALABRIA,Mil
Dd;Ds;E,DARMIAN,Int
Dd;Dc,IZZO,Tor
Dc,ACERBI,Laz
Dc,YOSHIDA,Sam
C;T,PESSINA,Ata
C;T,ELMAS,Nap
C,POBEGA,Spe
A,SAU,Ben
A,GYASI,Spe
T;A,VIGNATO,Bol
T;A,MIRANCHUK,Ata
Por,CONSIGLI,Sas
Por,MUSSO,Udi
Pc,OKAKA,Udi
Pc,LAMMERS,Ata
Pc,MANDZUKIC,Mil
M;C,NANDEZ,Cag
E;W,MOLINA S.,Cro
Dd;E,CUADRADO,Juv
Dc,TOLOI,Ata
