M,Nome,Squadra
Pc,RONALDO,Juv
Pc,LUKAKU,Int
Pc,IMMOBILE,Laz
Pc,BELOTTI,Tor
Pc,MURIEL,Ata
Pc,MARTINEZ L.,Int
TA,MKHITARYAN,Rom
Pc,IBRAHIMOVIC,Mil
A,JOAO PEDRO,Cag
A,INSIGNE,Nap
Pc,ZAPATA D.,Ata
DdE,HAKIMI,Int
A,BERARDI,Sas
Pc,DZEKO,Rom
A,LOZANO,Nap
Pc,CAPUTO,Sas
WA,CHIESA,Juv
MC,KESSIE',Mil
E,GOSENS,Ata
C,VERETOUT,Rom
Pc,MERTENS,Nap
CT,ZACCAGNI,Ver
T,DE PAUL,Udi
CT,MILINKOVIC-SAVIC,Laz
A,ILICIC,Ata
Pc,MORATA,Juv
CT,SORIANO,Bol
A,RAFAEL LEAO,Mil
T,LUIS ALBERTO,Laz
Pc,PETAGNA,Nap
A,MESSIAS,Cro
WA,POLITANO,Nap
Pc,CAICEDO,Laz
Pc,QUAGLIARELLA,Sam
Pc,DESTRO,Gen
EW,CANDREVA,Sam
DsE,HERNANDEZ T.,Mil
CT,PELLEGRINI LO.,Rom
CT,ZIELINSKI,Nap
Pc,VLAHOVIC,Fio
Pc,NZOLA,Spe
CT,BARAK,Ver
A,SANCHEZ,Int
TA,KULUSEVSKI,Juv
T,CALHANOGLU,Mil
Pc,SIMY,Cro
Pc,MAYORAL,Rom
MC,MCKENNIE,Juv
A,DYBALA,Juv
WA,ORSOLINI,Bol
Pc,SIMEONE,Cag
WT,PEREYRA,Udi
T,DJURICIC,Sas
Por,GOLLINI,Ata
Por,DONNARUMMA G.,Mil
CW,JANKTO,Sam
CT,CASTROVILLI,Fio
C,BROZOVIC,Int
T,RAMSEY,Juv
Por,SILVESTRI,Ver
Pc,OSIMHEN,Nap
Pc,SHOMURODOV,Gen
MC,BARELLA,Int
DdE,DANILO,Juv
DdE,SPINAZZOLA,Rom
C,FREULER,Ata
A,REBIC,Mil
A,GERVINHO,Par
A,BOGA,Sas
WT,DIAZ B.,Mil
WA,EL SHAARAWY,Rom
DsE,DIMARCO,Ver
DdE,HATEBOER,Ata
DdE,KARSDORP,Rom
Dc,SKRINIAR,Int
Dc,MANCINI,Rom
A,BARROW,Bol
A,FARIAS,Spe
WA,DAMSGAARD,Sam
WA,PEDRO,Rom
WA,PUSSETTO,Udi
Por,SZCZESNY,Juv
Por,REINA,Laz
Por,OSPINA,Nap
Por,AUDERO,Sam
Pc,LAPADULA,Ben
DdE,LETIZIA,Ben
DdE,SINGO,Tor
Dc,BONUCCI,Juv
CT,VERRE,Sam
C,LUKIC,Tor
A,CAPRARI,Ben
A,DEFREL,Sas
A,PJACA,Gen
A,KEITA B.,Sam
WA,INSIGNE R.,Ben
Por,DRAGOWSKI,Fio
Por,HANDANOVIC,Int
MC,GAGLIARDINI,Int
MC,LOCATELLI,Sas
MC,MIGUEL VELOSO,Ver
E,LAZZARI,Laz
DsE,CRISCITO,Gen
Dc,DE VRIJ,Int
Dc,BREMER,Tor
CT,TRAORE' HJ.,Sas
C,KUCKA,Par
A,RIBERY,Fio
WA,SOTTIL,Cag
W,SAELEMAEKERS,Mil
T,MALINOVSKYI,Ata
Por,PERIN,Gen
Pc,SCAMACCA,Gen
Pc,TORREGROSSA,Sam
Pc,SANABRIA,Tor
MC,DE ROON,Ata
MC,HERNANI,Par
MC,THORSBY,Sam
M,DEMME,Nap
DsE,BIRAGHI,Fio
DdE,CALABRIA,Mil
DdE,DARMIAN,Int
Ddc,IZZO,Tor
Dc,ACERBI,Laz
Dc,YOSHIDA,Sam
CT,PESSINA,Ata
CT,ELMAS,Nap
C,POBEGA,Spe
A,SAU,Ben
A,GYASI,Spe
TA,VIGNATO,Bol
TA,MIRANCHUK,Ata
Por,CONSIGLI,Sas
Por,MUSSO,Udi
Pc,OKAKA,Udi
Pc,LAMMERS,Ata
Pc,MANDZUKIC,Mil
MC,NANDEZ,Cag
EW,MOLINA S.,Cro
DdE,CUADRADO,Juv
Dc,TOLOI,Ata
Dc,ROMERO,Ata
Dc,ROMAGNOLI,Mil
CT,SVANBERG,Bol
CT,NAINGGOLAN,Cag
A,PALACIO,Bol
A,CORREA,Laz
T,PEREIRA A.,Laz
